age,gender,student_status,university,satisfaction_rating,learning_style,preferred_population,school,plans_further_education,career_goal,cost_importance,culture_importance,internship_importance,ranking_influence,extracurricular_importance,family_influence,friend_influence,social_media_influence,scholarship_significance,has_scholarship,funding_source,financial_consideration,residence,personality,leadership_role,extracurricular_hours,extracurricular_type,cca_count,engagement_level,engagement_category,internship_participation,external_influence,selection_criteria_list,cca_list,satisfaction_group
18 - 24,Female,Domestic,NUS,4,Theoretical,Large,Medicine,0.5,Business Analyst,7,7,8,8,6,6,5,4,7,0,Loan,7.0,On campus,Extroverted,0,14,Academic,3,2,Low,1,5.0,"['Industry Connections', 'Global Recognition', 'Faculty Quality']","['Social Club', 'Research Group', 'Academic Society']",Satisfied
18 - 24,Female,Domestic,NUS,4,Hands-on/Practical,Large,Computing,0.5,Software Engineer,7,7,7,9,7,6,6,5,7,0,Self-funded,7.0,Commute,Ambivert,0,11,Professional,1,1,Low,1,5.666666666666667,"['Research Opportunities', 'Academic Reputation', 'Career Services']",['Research Group'],Satisfied
18 - 24,Female,Domestic,NUS,4,Visual,Large,Medicine,0.5,Researcher,8,7,8,9,6,7,6,4,7,1,Family,7.5,On campus,Ambivert,0,15,Arts,2,2,Low,1,5.666666666666667,"['Career Services', 'Research Opportunities', 'Faculty Quality']","['Academic Society', 'Sports Club']",Satisfied
18 - 24,Female,Domestic,NUS,3,Group-based,Large,Social Sciences,1.0,Entrepreneur,7,7,8,9,7,6,6,5,7,0,Scholarship,7.0,Commute,Extroverted,0,16,Professional,3,3,Medium,1,5.666666666666667,"['Faculty Quality', 'Career Services', 'Industry Connections']","['Academic Society', 'Cultural Club', 'Academic Society']",Neutral
18 - 24,Female,International,NUS,3,Theoretical,Large,Engineering,1.0,Software Engineer,6,8,8,9,6,6,5,4,7,0,Family,6.5,Off campus,Introverted,0,15,Academic,2,2,Low,1,5.0,"['Career Services', 'International Exposure', 'Academic Reputation']","['Professional Club', 'Sports Club']",Neutral
18 - 24,Female,Domestic,NUS,4,Theoretical,Large,Computing,0.5,Data Scientist,6,7,7,8,6,7,6,5,7,1,Loan,6.5,Off campus,Extroverted,0,14,Sports,2,2,Low,1,6.0,"['Career Services', 'Faculty Quality', 'Research Opportunities']","['Cultural Club', 'Sports Club']",Satisfied
Over 30,Male,International,NUS,3,Theoretical,Large,Engineering,0.5,Software Engineer,7,7,7,8,7,6,6,5,8,1,Scholarship,7.5,Commute,Introverted,0,15,Academic,2,2,Low,1,5.666666666666667,"['Career Services', 'International Exposure', 'Global Recognition']","['Sports Club', 'Professional Club']",Neutral
18 - 24,Female,Domestic,NUS,4,Theoretical,Large,Computing,0.0,Software Engineer,7,8,7,9,6,7,6,5,6,1,Family,6.5,On campus,Introverted,0,14,Community,1,1,Low,1,6.0,"['Research Opportunities', 'Research Opportunities', 'Industry Connections']",['Academic Society'],Satisfied
18 - 24,Male,Domestic,NUS,4,Hands-on/Practical,Large,Social Sciences,1.0,Software Engineer,6,8,7,9,6,6,5,5,7,0,Family,6.5,Commute,Extroverted,1,15,Academic,2,4,Medium,0,5.333333333333333,"['Global Recognition', 'Global Recognition', 'Faculty Quality']","['Professional Club', 'Cultural Club']",Satisfied
18 - 24,Male,International,NUS,4,Theoretical,Large,Engineering,1.0,Researcher,6,8,8,8,6,5,5,4,7,0,Family,6.5,Commute,Ambivert,1,11,Academic,3,4,Medium,1,4.666666666666667,"['Faculty Quality', 'Academic Reputation', 'Career Services']","['Research Group', 'Research Group', 'Sports Club']",Satisfied
18 - 24,Female,Domestic,NUS,4,Auditory,Large,Business,1.0,Software Engineer,6,7,8,9,6,6,5,5,8,0,Loan,7.0,Commute,Introverted,0,14,Community,2,2,Low,1,5.333333333333333,"['Global Recognition', 'Career Services', 'Faculty Quality']","['Social Club', 'Professional Club']",Satisfied
18 - 24,Female,International,NUS,4,Auditory,Large,Medicine,1.0,Data Scientist,6,8,8,8,7,7,6,5,8,0,Family,7.0,Commute,Ambivert,1,15,Arts,3,5,Medium,1,6.0,"['Academic Reputation', 'Faculty Quality', 'Industry Connections']","['Research Group', 'Academic Society', 'Academic Society']",Satisfied
18 - 24,Non-binary,International,NUS,4,Hands-on/Practical,Large,Sciences,1.0,Data Scientist,6,8,7,8,6,6,6,5,7,0,Loan,6.5,Off campus,Extroverted,1,16,Community,3,5,Medium,1,5.666666666666667,"['Academic Reputation', 'Academic Reputation', 'Career Services']","['Sports Club', 'Social Club', 'Research Group']",Satisfied
Over 30,Male,International,NUS,4,Visual,Large,Sciences,1.0,Business Analyst,7,8,7,9,7,6,5,5,7,0,Self-funded,7.0,On campus,Ambivert,0,15,Academic,3,3,Medium,1,5.333333333333333,"['Faculty Quality', 'Global Recognition', 'Industry Connections']","['Research Group', 'Professional Club', 'Cultural Club']",Satisfied
18 - 24,Female,International,NUS,3,Hands-on/Practical,Large,Medicine,0.5,Software Engineer,6,7,6,8,7,6,6,5,8,0,Scholarship,7.0,Off campus,Ambivert,1,9,Academic,2,3,Medium,1,5.666666666666667,"['Global Recognition', 'Academic Reputation', 'Scholarship Opportunities']","['Cultural Club', 'Research Group']",Neutral
18 - 24,Female,Domestic,NUS,4,Visual,Large,Engineering,0.0,Business Analyst,7,7,7,9,7,6,5,4,7,0,Family,7.0,On campus,Ambivert,0,15,Professional,1,2,Low,1,5.0,"['Global Recognition', 'Academic Reputation', 'Industry Connections']",['Cultural Club'],Satisfied
18 - 24,Male,International,NUS,3,Theoretical,Large,Business,1.0,Data Scientist,6,7,7,10,7,6,5,5,7,0,Scholarship,6.5,On campus,Ambivert,0,13,Professional,1,1,Low,1,5.333333333333333,"['International Exposure', 'Career Services', 'Research Opportunities']",['Research Group'],Neutral
18 - 24,Male,Domestic,NUS,4,Theoretical,Large,Engineering,1.0,Software Engineer,7,7,7,9,6,6,6,5,7,0,Scholarship,7.0,On campus,Ambivert,0,18,Social,4,3,Medium,1,5.666666666666667,"['International Exposure', 'Industry Connections', 'Scholarship Opportunities']","['Academic Society', 'Sports Club', 'Sports Club', 'Academic Society']",Satisfied
18 - 24,Male,International,NUS,4,Theoretical,Large,Engineering,0.5,Entrepreneur,7,7,8,9,6,7,6,4,8,0,Scholarship,7.5,Commute,Extroverted,0,12,Professional,1,1,Low,1,5.666666666666667,"['Academic Reputation', 'Research Opportunities', 'Research Opportunities']",['Social Club'],Satisfied
18 - 24,Male,International,NUS,4,Visual,Large,Computing,1.0,Data Scientist,6,8,7,8,6,6,6,5,7,0,Family,6.5,Commute,Introverted,0,15,Sports,2,2,Low,0,5.666666666666667,"['Global Recognition', 'Research Opportunities', 'Faculty Quality']","['Cultural Club', 'Research Group']",Satisfied
18 - 24,Male,Domestic,NUS,4,Visual,Large,Medicine,1.0,Data Scientist,7,7,7,8,6,7,5,4,8,0,Scholarship,7.5,Commute,Introverted,0,17,Professional,3,3,Medium,1,5.333333333333333,"['Industry Connections', 'International Exposure', 'Scholarship Opportunities']","['Academic Society', 'Cultural Club', 'Social Club']",Satisfied
18 - 24,Female,International,NUS,4,Theoretical,Large,Medicine,1.0,Software Engineer,8,8,9,9,7,7,5,4,7,0,Scholarship,7.5,Off campus,Extroverted,0,13,Community,4,3,Medium,0,5.333333333333333,"['Career Services', 'Faculty Quality', 'Academic Reputation']","['Sports Club', 'Sports Club', 'Cultural Club', 'Academic Society']",Satisfied
25 - 30,Male,Domestic,NUS,4,Visual,Large,Computing,1.0,Researcher,7,7,7,8,6,5,6,5,7,0,Self-funded,7.0,Commute,Ambivert,0,15,Arts,3,3,Medium,0,5.333333333333333,"['Research Opportunities', 'Research Opportunities', 'Research Opportunities']","['Academic Society', 'Cultural Club', 'Academic Society']",Satisfied
Under 18,Female,Domestic,NUS,4,Hands-on/Practical,Large,Sciences,0.5,Business Analyst,7,7,7,9,6,7,6,5,7,0,Self-funded,7.0,Commute,Extroverted,1,16,Professional,3,5,Medium,0,6.0,"['Career Services', 'Academic Reputation', 'Career Services']","['Research Group', 'Academic Society', 'Professional Club']",Satisfied
18 - 24,Male,International,NUS,4,Hands-on/Practical,Large,Computing,1.0,Researcher,7,8,8,9,6,7,5,5,7,1,Self-funded,7.0,Commute,Ambivert,0,16,Sports,2,2,Low,1,5.666666666666667,"['Academic Reputation', 'Faculty Quality', 'Faculty Quality']","['Professional Club', 'Research Group']",Satisfied
18 - 24,Prefer not to say,Domestic,NUS,4,Visual,Large,Business,0.0,Researcher,6,7,9,8,7,6,6,4,8,1,Scholarship,7.0,Off campus,Introverted,0,13,Community,3,2,Low,1,5.333333333333333,"['Industry Connections', 'Faculty Quality', 'Scholarship Opportunities']","['Sports Club', 'Cultural Club', 'Professional Club']",Satisfied
18 - 24,Female,Domestic,NUS,4,Theoretical,Large,Sciences,1.0,Researcher,7,7,7,9,6,8,5,4,7,0,Family,7.0,On campus,Introverted,0,13,Arts,2,2,Low,1,5.666666666666667,"['Scholarship Opportunities', 'International Exposure', 'Industry Connections']","['Academic Society', 'Research Group']",Satisfied
18 - 24,Female,Domestic,NUS,3,Auditory,Large,Computing,1.0,Software Engineer,7,6,8,8,6,7,5,5,7,0,Loan,7.0,On campus,Extroverted,1,14,Sports,1,3,Medium,1,5.666666666666667,"['Academic Reputation', 'Research Opportunities', 'International Exposure']",['Professional Club'],Neutral
18 - 24,Male,Domestic,NUS,4,Visual,Large,Arts,0.0,Product Manager,6,8,8,9,7,6,6,4,7,1,Self-funded,6.5,On campus,Extroverted,1,13,Community,1,3,Medium,1,5.333333333333333,"['Industry Connections', 'Academic Reputation', 'Career Services']",['Professional Club'],Satisfied
18 - 24,Male,Domestic,NUS,3,Auditory,Large,Social Sciences,1.0,Software Engineer,7,7,7,8,6,6,6,4,7,1,Loan,7.0,Commute,Ambivert,1,14,Professional,3,4,Medium,1,5.333333333333333,"['Career Services', 'Academic Reputation', 'International Exposure']","['Social Club', 'Research Group', 'Social Club']",Neutral
18 - 24,Female,Domestic,NUS,3,Visual,Large,Computing,0.5,Data Scientist,6,7,8,9,7,6,5,5,8,1,Loan,7.0,Commute,Extroverted,0,17,Professional,4,3,Medium,1,5.333333333333333,"['Research Opportunities', 'Research Opportunities', 'Academic Reputation']","['Sports Club', 'Research Group', 'Academic Society', 'Social Club']",Neutral
18 - 24,Male,International,NUS,4,Auditory,Large,Computing,1.0,Business Analyst,6,8,8,9,6,6,5,3,8,0,Family,7.0,Off campus,Introverted,0,15,Academic,3,3,Medium,1,4.666666666666667,"['Industry Connections', 'Research Opportunities', 'Career Services']","['Social Club', 'Academic Society', 'Research Group']",Satisfied
Over 30,Female,Domestic,NUS,3,Visual,Large,Computing,1.0,Researcher,7,8,8,9,6,7,6,5,8,0,Family,7.5,Off campus,Extroverted,0,12,Arts,3,2,Low,1,6.0,"['International Exposure', 'Scholarship Opportunities', 'Academic Reputation']","['Cultural Club', 'Sports Club', 'Professional Club']",Neutral
18 - 24,Female,Domestic,NUS,3,Group-based,Large,Engineering,0.0,Software Engineer,7,7,8,8,6,6,6,5,8,1,Family,7.5,Off campus,Introverted,1,12,Professional,2,4,Medium,1,5.666666666666667,"['Academic Reputation', 'Academic Reputation', 'Scholarship Opportunities']","['Academic Society', 'Academic Society']",Neutral
18 - 24,Male,International,NUS,4,Theoretical,Large,Sciences,1.0,Software Engineer,7,8,7,9,6,6,5,4,7,1,Loan,7.0,Commute,Introverted,0,15,Sports,3,3,Medium,1,5.0,"['Scholarship Opportunities', 'Faculty Quality', 'Scholarship Opportunities']","['Cultural Club', 'Sports Club', 'Academic Society']",Satisfied
25 - 30,Female,Domestic,NUS,4,Hands-on/Practical,Large,Sciences,1.0,Product Manager,6,8,7,8,7,6,6,5,7,0,Scholarship,6.5,Commute,Ambivert,0,13,Professional,3,2,Low,1,5.666666666666667,"['Research Opportunities', 'Global Recognition', 'Faculty Quality']","['Academic Society', 'Academic Society', 'Academic Society']",Satisfied
18 - 24,Male,Domestic,NUS,4,Auditory,Large,Engineering,1.0,Data Scientist,7,7,8,9,6,7,6,4,8,0,Loan,7.5,On campus,Ambivert,0,16,Academic,2,2,Low,0,5.666666666666667,"['Academic Reputation', 'International Exposure', 'Global Recognition']","['Academic Society', 'Academic Society']",Satisfied
25 - 30,Male,Domestic,NUS,4,Hands-on/Practical,Large,Sciences,0.5,Data Scientist,7,7,8,9,7,5,6,4,7,1,Family,7.0,Off campus,Extroverted,0,14,Professional,2,2,Low,1,5.0,"['International Exposure', 'Career Services', 'Global Recognition']","['Academic Society', 'Cultural Club']",Satisfied
Under 18,Male,Domestic,NUS,4,Theoretical,Large,Sciences,1.0,Software Engineer,6,8,7,8,7,6,5,5,8,0,Scholarship,7.0,Commute,Ambivert,0,14,Professional,2,2,Low,1,5.333333333333333,"['Academic Reputation', 'Career Services', 'Global Recognition']","['Professional Club', 'Academic Society']",Satisfied
18 - 24,Male,Domestic,NUS,3,Theoretical,Large,Medicine,0.5,Data Scientist,6,8,8,8,6,6,5,3,7,0,Scholarship,6.5,Commute,Extroverted,0,16,Professional,3,3,Medium,1,4.666666666666667,"['Industry Connections', 'Global Recognition', 'Research Opportunities']","['Professional Club', 'Social Club', 'Professional Club']",Neutral
18 - 24,Female,Domestic,NUS,4,Theoretical,Large,Arts,0.0,Software Engineer,7,8,7,9,7,6,6,4,8,0,Scholarship,7.5,On campus,Extroverted,0,15,Sports,4,3,Medium,1,5.333333333333333,"['Global Recognition', 'Scholarship Opportunities', 'International Exposure']","['Social Club', 'Sports Club', 'Social Club', 'Sports Club']",Satisfied
18 - 24,Male,International,NUS,4,Theoretical,Large,Computing,1.0,Researcher,7,7,7,9,5,6,5,5,8,0,Loan,7.5,On campus,Extroverted,0,15,Professional,3,3,Medium,1,5.333333333333333,"['Industry Connections', 'Faculty Quality', 'Academic Reputation']","['Social Club', 'Research Group', 'Academic Society']",Satisfied
18 - 24,Female,Domestic,NUS,3,Theoretical,Large,Sciences,1.0,Product Manager,6,7,7,8,6,6,6,5,8,0,Self-funded,7.0,Commute,Extroverted,0,14,Professional,2,2,Low,1,5.666666666666667,"['International Exposure', 'Research Opportunities', 'Scholarship Opportunities']","['Cultural Club', 'Research Group']",Neutral
18 - 24,Female,Domestic,NUS,4,Theoretical,Large,Business,1.0,Data Scientist,6,7,7,9,7,6,6,5,9,1,Scholarship,7.5,On campus,Ambivert,1,13,Community,1,3,Medium,1,5.666666666666667,"['Global Recognition', 'Career Services', 'Faculty Quality']",['Academic Society'],Satisfied
18 - 24,Male,International,NUS,4,Visual,Large,Sciences,0.5,Business Analyst,6,8,7,9,7,7,6,5,7,0,Loan,6.5,Commute,Extroverted,1,14,Academic,3,4,Medium,1,6.0,"['Global Recognition', 'Career Services', 'Faculty Quality']","['Cultural Club', 'Research Group', 'Academic Society']",Satisfied
18 - 24,Female,Domestic,NUS,4,Visual,Large,Business,1.0,Software Engineer,6,8,7,9,6,6,5,5,8,1,Loan,7.0,Off campus,Ambivert,1,14,Professional,3,4,Medium,1,5.333333333333333,"['Global Recognition', 'International Exposure', 'Academic Reputation']","['Professional Club', 'Academic Society', 'Research Group']",Satisfied
18 - 24,Male,Domestic,NUS,4,Theoretical,Large,Sciences,1.0,Software Engineer,7,9,7,8,7,8,5,5,7,0,Scholarship,7.0,Off campus,Introverted,0,20,Academic,3,3,Medium,1,6.0,"['Industry Connections', 'Academic Reputation', 'Academic Reputation']","['Sports Club', 'Research Group', 'Sports Club']",Satisfied
18 - 24,Female,Domestic,NUS,4,Hands-on/Practical,Large,Sciences,1.0,Software Engineer,7,8,8,9,6,6,5,4,8,0,Loan,7.5,Off campus,Ambivert,0,14,Professional,1,1,Low,1,5.0,"['Academic Reputation', 'Academic Reputation', 'Global Recognition']",['Research Group'],Satisfied
18 - 24,Female,Domestic,NUS,4,Auditory,Large,Sciences,0.5,Entrepreneur,7,8,8,9,7,7,5,5,8,1,Loan,7.5,Commute,Introverted,0,13,Community,3,2,Low,1,5.666666666666667,"['International Exposure', 'Scholarship Opportunities', 'International Exposure']","['Research Group', 'Academic Society', 'Research Group']",Satisfied
18 - 24,Female,Domestic,NUS,4,Auditory,Large,Social Sciences,1.0,Data Scientist,6,8,8,9,7,7,6,4,7,1,Scholarship,6.5,Off campus,Ambivert,0,18,Arts,1,2,Low,1,5.666666666666667,"['International Exposure', 'Academic Reputation', 'International Exposure']",['Social Club'],Satisfied
18 - 24,Male,Domestic,NUS,4,Theoretical,Large,Computing,0.5,Consultant,6,7,7,9,5,7,6,4,7,1,Scholarship,6.5,Off campus,Extroverted,0,13,Academic,3,2,Low,1,5.666666666666667,"['Academic Reputation', 'Research Opportunities', 'International Exposure']","['Sports Club', 'Academic Society', 'Social Club']",Satisfied
18 - 24,Male,Domestic,NUS,4,Self-paced/Individual,Large,Engineering,0.5,Entrepreneur,6,7,8,8,6,7,5,5,8,1,Scholarship,7.0,On campus,Introverted,1,13,Academic,2,4,Medium,1,5.666666666666667,"['Global Recognition', 'Research Opportunities', 'Global Recognition']","['Social Club', 'Cultural Club']",Satisfied
18 - 24,Male,Domestic,NUS,4,Self-paced/Individual,Large,Computing,1.0,Product Manager,7,8,6,9,7,6,6,4,7,1,Scholarship,7.0,Off campus,Extroverted,0,14,Sports,1,1,Low,1,5.333333333333333,"['Industry Connections', 'Academic Reputation', 'International Exposure']",['Research Group'],Satisfied
25 - 30,Male,Domestic,NUS,4,Auditory,Large,Arts,1.0,Consultant,7,8,7,9,7,6,5,4,7,1,Scholarship,7.0,On campus,Ambivert,0,16,Sports,2,2,Low,1,5.0,"['Career Services', 'Academic Reputation', 'Academic Reputation']","['Research Group', 'Sports Club']",Satisfied
Under 18,Male,Domestic,NUS,4,Hands-on/Practical,Large,Medicine,1.0,Product Manager,6,8,7,9,6,7,5,5,7,1,Scholarship,6.5,On campus,Introverted,0,13,Academic,1,1,Low,1,5.666666666666667,"['Global Recognition', 'Scholarship Opportunities', 'Research Opportunities']",['Professional Club'],Satisfied
18 - 24,Female,Domestic,NUS,4,Hands-on/Practical,Large,Computing,1.0,Product Manager,6,8,8,7,6,6,6,4,8,0,Scholarship,7.0,Off campus,Ambivert,0,16,Academic,3,3,Medium,1,5.333333333333333,"['Academic Reputation', 'Career Services', 'Scholarship Opportunities']","['Research Group', 'Research Group', 'Professional Club']",Satisfied
18 - 24,Male,International,NUS,4,Theoretical,Large,Engineering,1.0,Software Engineer,6,8,7,8,6,6,6,4,7,0,Family,6.5,Commute,Ambivert,0,13,Arts,2,2,Low,0,5.333333333333333,"['International Exposure', 'Research Opportunities', 'Career Services']","['Sports Club', 'Research Group']",Satisfied
18 - 24,Male,Domestic,NUS,3,Theoretical,Large,Computing,0.5,Product Manager,6,8,7,8,7,6,5,4,7,0,Self-funded,6.5,On campus,Introverted,0,17,Academic,3,3,Medium,1,5.0,"['Faculty Quality', 'Academic Reputation', 'International Exposure']","['Research Group', 'Research Group', 'Research Group']",Neutral
18 - 24,Male,Domestic,NUS,3,Theoretical,Large,Computing,0.0,Software Engineer,6,7,8,8,7,6,6,5,7,0,Loan,6.5,On campus,Introverted,1,13,Professional,2,4,Medium,1,5.666666666666667,"['Industry Connections', 'Industry Connections', 'Global Recognition']","['Sports Club', 'Professional Club']",Neutral
18 - 24,Female,Domestic,NUS,4,Theoretical,Large,Computing,1.0,Data Scientist,5,7,7,9,6,7,5,4,8,0,Family,6.5,Commute,Ambivert,0,16,Professional,3,3,Medium,1,5.333333333333333,"['Global Recognition', 'Career Services', 'Industry Connections']","['Academic Society', 'Research Group', 'Social Club']",Satisfied
18 - 24,Female,Domestic,NUS,4,Theoretical,Large,Business,0.0,Business Analyst,6,8,8,9,6,7,6,5,7,0,Loan,6.5,Commute,Extroverted,0,13,Sports,3,2,Low,1,6.0,"['Academic Reputation', 'Research Opportunities', 'Global Recognition']","['Research Group', 'Sports Club', 'Academic Society']",Satisfied
Under 18,Female,International,NUS,4,Theoretical,Large,Medicine,1.0,Data Scientist,6,7,8,8,7,6,6,5,7,1,Scholarship,6.5,On campus,Introverted,1,14,Community,2,4,Medium,1,5.666666666666667,"['Global Recognition', 'Faculty Quality', 'Industry Connections']","['Social Club', 'Research Group']",Satisfied
18 - 24,Male,International,NUS,4,Auditory,Large,Engineering,0.0,Software Engineer,7,8,9,8,7,6,6,5,6,0,Self-funded,6.5,On campus,Ambivert,0,14,Sports,1,1,Low,1,5.666666666666667,"['Research Opportunities', 'Global Recognition', 'Research Opportunities']",['Cultural Club'],Satisfied
18 - 24,Female,International,NUS,4,Hands-on/Practical,Large,Engineering,1.0,Business Analyst,6,7,7,8,6,8,6,4,7,0,Loan,6.5,On campus,Introverted,1,17,Professional,3,5,Medium,1,6.0,"['Industry Connections', 'Research Opportunities', 'International Exposure']","['Professional Club', 'Professional Club', 'Sports Club']",Satisfied
25 - 30,Male,International,NUS,4,Hands-on/Practical,Large,Sciences,1.0,Software Engineer,7,8,8,8,6,6,6,5,7,0,Loan,7.0,Commute,Extroverted,0,14,Academic,3,2,Low,1,5.666666666666667,"['Industry Connections', 'Global Recognition', 'Global Recognition']","['Professional Club', 'Research Group', 'Academic Society']",Satisfied
18 - 24,Male,International,NUS,4,Theoretical,Large,Sciences,1.0,Data Scientist,7,8,8,9,7,6,6,4,7,0,Scholarship,7.0,Off campus,Extroverted,1,15,Sports,2,4,Medium,0,5.333333333333333,"['Scholarship Opportunities', 'Academic Reputation', 'Research Opportunities']","['Research Group', 'Academic Society']",Satisfied
