age,gender,nationality,qualification,high_school_gpa,university,selection_criteria,considered_others,second_choice,satisfaction,university_tags,learning_style,population_preference,campus_setting,cost_importance,scholarship,living,major,career_goal,internship_importance,university_internship,family_influence,friend_influence,social_media_influence,ranking_influence
22,Other,Singaporean,A-Levels,3.96,NUS,"Ranking,Scholarships,Specific Course Offerings",true,NTU,7,"Research Oriented,Strong Alumni Network",Lecture-Based,Small,Urban,5,false,Commute,Arts and Social Sciences,Government,9,true,7,9,3,8
21,Male,Singaporean,A-Levels,3.58,NUS,"Job Placement Rate,Scholarships,Location",false,NTU,6,"Comprehensive Programs,Strong Alumni Network",Research-Driven,Small,Urban,4,false,On Campus,Law,Industry Professional,8,true,1,8,3,7
21,Other,Singaporean,High School Diploma,3.73,NUS,"Reputation,Location,Job Placement Rate",true,SUTD,7,"Comprehensive Programs,Strong Alumni Network",Hands-On,Small,Suburban,6,false,On Campus,Engineering,Government,7,false,6,8,5,8
19,Female,Singaporean,Polytechnic Diploma,3.35,NUS,"Job Placement Rate,Scholarships,Ranking",true,NTU,9,"Comprehensive Programs,Strong Alumni Network",Hands-On,Small,Urban,10,false,On Campus,Medicine,Entrepreneur,7,false,10,2,9,7
20,Other,Singaporean,Polytechnic Diploma,3.80,NUS,"Job Placement Rate,Location,Campus Facilities",true,SUSS,6,"Comprehensive Programs,Strong Alumni Network",Research-Driven,Medium,Urban,2,true,Commute,Business Analytics,Industry Professional,9,true,9,6,1,9
22,Female,Singaporean,IB,3.46,NUS,"Tuition Fees,Faculty Quality,Reputation",true,SUTD,8,"Comprehensive Programs,Research Oriented",Hands-On,Small,Urban,1,false,Commute,Engineering,NGO/Non-profit,8,true,2,5,5,9
22,Other,Singaporean,Polytechnic Diploma,3.43,NTU,"Specific Course Offerings,Reputation,Tuition Fees",true,SMU,9,"Industry Connections,Research Excellence",Online/Hybrid,Small,Suburban,7,false,On Campus,Science,Government,7,false,10,9,1,5
23,Prefer not to say,Singaporean,A-Levels,3.45,NTU,"Location,Scholarships,Tuition Fees",true,SMU,9,"Research Excellence,Industry Connections",Hands-On,Large,Suburban,8,false,Commute,Communications,Industry Professional,7,true,10,1,6,5
20,Other,Singaporean,IB,3.09,NTU,"Campus Facilities,Job Placement Rate,Reputation",true,SUTD,9,"Smart Campus,Industry Connections",Online/Hybrid,Large,Urban,2,true,On Campus,Engineering,Entrepreneur,7,true,8,4,5,9
24,Other,Singaporean,A-Levels,3.16,NTU,"Tuition Fees,Ranking,Specific Course Offerings",true,NUS,9,"Research Excellence,Sustainable Focus",Hands-On,Small,Urban,3,false,Commute,Computer Science,Industry Professional,8,false,5,2,9,6
24,Male,Singaporean,IB,3.97,NTU,"Ranking,Campus Facilities,Job Placement Rate",true,NUS,8,"Research Excellence,Sustainable Focus",Hands-On,Large,Urban,6,true,On Campus,Computer Science,Researcher,8,false,8,9,8,8
19,Other,Singaporean,IB,3.48,NTU,"Tuition Fees,Ranking,Job Placement Rate",true,SMU,6,"Research Excellence,Smart Campus",Hands-On,Small,Suburban,9,false,On Campus,Business,NGO/Non-profit,8,true,6,8,5,6
19,Prefer not to say,Singaporean,IB,3.50,NTU,"Reputation,Location,Campus Facilities",true,NUS,9,"Industry Connections,Sustainable Focus",Hands-On,Medium,Suburban,2,false,On Campus,Engineering,Government,9,true,2,9,9,5
19,Male,Singaporean,Polytechnic Diploma,3.44,NTU,"Ranking,Reputation,Location",true,SUSS,7,"Industry Connections,Smart Campus",Research-Driven,Small,Suburban,5,false,On Campus,Engineering,Researcher,7,true,9,9,8,8
20,Male,Singaporean,IB,3.84,NTU,"Campus Facilities,Reputation,Faculty Quality",true,SMU,7,"Sustainable Focus,Industry Connections",Research-Driven,Large,Urban,8,false,On Campus,Business,NGO/Non-profit,9,true,4,7,7,9
20,Other,Singaporean,High School Diploma,3.17,NTU,"Tuition Fees,Location,Reputation",true,SIT,6,"Smart Campus,Sustainable Focus",Research-Driven,Small,Urban,4,true,Commute,"Art, Design & Media",Industry Professional,8,true,2,2,4,9
22,Other,Singaporean,Polytechnic Diploma,3.42,NTU,"Tuition Fees,Location,Campus Facilities",false,NUS,9,"Smart Campus,Sustainable Focus",Research-Driven,Small,Urban,7,false,On Campus,Business,Industry Professional,8,false,4,7,3,6
19,Male,Singaporean,Polytechnic Diploma,3.67,NTU,"Ranking,Job Placement Rate,Tuition Fees",false,SUTD,7,"Industry Connections,Research Excellence",Hands-On,Medium,Urban,9,false,On Campus,"Art, Design & Media",Industry Professional,9,true,5,3,10,8
21,Male,Singaporean,High School Diploma,3.80,NTU,"Reputation,Scholarships,Location",true,SUSS,9,"Smart Campus,Sustainable Focus",Lecture-Based,Small,Urban,9,false,On Campus,"Art, Design & Media",NGO/Non-profit,7,true,7,10,3,6
20,Prefer not to say,Singaporean,Polytechnic Diploma,3.70,NTU,"Faculty Quality,Specific Course Offerings,Job Placement Rate",true,SMU,7,"Smart Campus,Sustainable Focus",Online/Hybrid,Large,Suburban,8,false,Commute,Computer Science,Entrepreneur,7,false,1,5,7,8
21,Prefer not to say,Singaporean,IB,3.93,NTU,"Ranking,Location,Specific Course Offerings",true,SUSS,9,"Smart Campus,Industry Connections",Lecture-Based,Large,Urban,4,false,Commute,"Art, Design & Media",Researcher,8,false,9,10,1,7
19,Male,Singaporean,A-Levels,3.37,NTU,"Scholarships,Campus Facilities,Reputation",true,NUS,9,"Smart Campus,Industry Connections",Hands-On,Large,Urban,5,false,Commute,"Art, Design & Media",Government,9,false,5,10,4,7
24,Male,Singaporean,A-Levels,3.41,NTU,"Specific Course Offerings,Job Placement Rate,Campus Facilities",true,SUTD,9,"Industry Connections,Research Excellence",Lecture-Based,Medium,Urban,7,false,Commute,Computer Science,Government,8,false,7,4,1,9
21,Male,Singaporean,High School Diploma,3.37,NTU,"Specific Course Offerings,Faculty Quality,Campus Facilities",true,NUS,8,"Research Excellence,Smart Campus",Hands-On,Small,Urban,4,false,Commute,Business,Government,7,false,2,9,6,7
19,Female,Singaporean,Polytechnic Diploma,3.66,NTU,"Reputation,Job Placement Rate,Location",true,SIT,6,"Industry Connections,Sustainable Focus",Online/Hybrid,Medium,Suburban,2,false,Commute,Business,Government,8,true,4,4,8,7
21,Other,Singaporean,A-Levels,3.77,NTU,"Reputation,Tuition Fees,Specific Course Offerings",true,SMU,7,"Smart Campus,Sustainable Focus",Hands-On,Small,Urban,9,false,Commute,"Art, Design & Media",NGO/Non-profit,8,false,7,6,2,5
24,Male,Singaporean,IB,3.66,SMU,"Scholarships,Specific Course Offerings,Tuition Fees",true,SUSS,7,"Business Focus,Professional Network",Research-Driven,Medium,Suburban,6,false,Commute,Computing & Law,Government,9,true,5,4,2,5
21,Male,Singaporean,IB,3.36,SMU,"Location,Specific Course Offerings,Job Placement Rate",true,SUTD,7,"City Campus,Interactive Learning",Lecture-Based,Large,Suburban,1,true,On Campus,Accountancy,Industry Professional,7,true,3,10,3,5
21,Female,Singaporean,IB,3.93,SMU,"Scholarships,Reputation,Location",true,SIT,9,"Professional Network,Business Focus",Lecture-Based,Medium,Urban,8,false,On Campus,Information Systems,Entrepreneur,7,true,6,7,8,6
23,Other,Singaporean,IB,3.56,SMU,"Scholarships,Job Placement Rate,Tuition Fees",true,SUTD,9,"Interactive Learning,City Campus",Online/Hybrid,Medium,Suburban,10,false,On Campus,Business Management,Researcher,8,true,8,4,2,6
24,Male,Singaporean,Polytechnic Diploma,3.42,SMU,"Job Placement Rate,Reputation,Ranking",true,NUS,9,"Interactive Learning,Business Focus",Online/Hybrid,Small,Suburban,4,false,On Campus,Law,Government,9,true,6,3,3,6
24,Female,Singaporean,IB,3.51,SMU,"Ranking,Tuition Fees,Scholarships",true,NTU,8,"Professional Network,City Campus",Hands-On,Medium,Suburban,8,true,On Campus,Information Systems,Government,8,false,7,2,3,5
23,Female,Singaporean,IB,3.06,SMU,"Reputation,Scholarships,Campus Facilities",false,NTU,9,"Professional Network,City Campus",Research-Driven,Large,Suburban,6,true,On Campus,Accountancy,Industry Professional,7,true,3,10,10,6
19,Male,Singaporean,High School Diploma,3.58,SMU,"Specific Course Offerings,Location,Campus Facilities",false,NUS,9,"Professional Network,Interactive Learning",Research-Driven,Medium,Urban,6,true,Commute,Law,Industry Professional,7,false,8,1,4,5
19,Female,Singaporean,IB,3.10,SMU,"Reputation,Ranking,Campus Facilities",false,SUTD,7,"City Campus,Interactive Learning",Online/Hybrid,Medium,Suburban,5,true,Commute,Computing & Law,Government,8,true,6,4,3,7
19,Other,Singaporean,Polytechnic Diploma,3.84,SMU,"Tuition Fees,Specific Course Offerings,Campus Facilities",true,SUSS,6,"City Campus,Interactive Learning",Hands-On,Medium,Urban,1,false,Commute,Law,NGO/Non-profit,8,true,10,9,1,6
22,Female,Singaporean,IB,3.53,SMU,"Specific Course Offerings,Tuition Fees,Reputation",true,SUTD,8,"Professional Network,Business Focus",Lecture-Based,Medium,Urban,1,false,On Campus,Business Management,Government,7,true,5,10,1,5
23,Other,Singaporean,IB,3.85,SMU,"Job Placement Rate,Ranking,Reputation",true,SUTD,8,"Business Focus,Professional Network",Research-Driven,Small,Suburban,8,false,Commute,Accountancy,Researcher,9,false,1,1,6,7
21,Other,Singaporean,High School Diploma,3.24,SMU,"Ranking,Location,Tuition Fees",true,NUS,6,"City Campus,Professional Network",Hands-On,Medium,Urban,6,false,On Campus,Economics,NGO/Non-profit,9,false,1,10,7,8
21,Male,Singaporean,IB,3.45,SMU,"Ranking,Campus Facilities,Location",false,SUTD,9,"City Campus,Professional Network",Hands-On,Small,Suburban,9,false,Commute,Economics,Entrepreneur,8,true,6,7,9,6
19,Other,Singaporean,High School Diploma,4.00,SMU,"Ranking,Tuition Fees,Scholarships",true,SUSS,9,"Interactive Learning,Business Focus",Hands-On,Large,Urban,10,false,Commute,Computing & Law,Entrepreneur,8,true,7,9,2,6
23,Female,Singaporean,IB,3.77,SMU,"Campus Facilities,Tuition Fees,Specific Course Offerings",true,SUSS,8,"Interactive Learning,Business Focus",Lecture-Based,Large,Suburban,3,false,On Campus,Information Systems,Industry Professional,7,true,5,2,10,5
20,Prefer not to say,Singaporean,High School Diploma,3.34,SMU,"Ranking,Tuition Fees,Specific Course Offerings",true,NUS,6,"City Campus,Business Focus",Research-Driven,Small,Urban,6,false,Commute,Economics,NGO/Non-profit,9,false,7,8,1,9
22,Other,Singaporean,IB,3.34,SMU,"Location,Ranking,Specific Course Offerings",false,NUS,8,"Interactive Learning,Professional Network",Lecture-Based,Medium,Suburban,6,false,On Campus,Information Systems,Government,7,false,9,3,2,9
21,Prefer not to say,Singaporean,Polytechnic Diploma,3.03,SMU,"Ranking,Faculty Quality,Tuition Fees",true,SUTD,6,"Interactive Learning,Professional Network",Hands-On,Medium,Suburban,5,false,Commute,Computing & Law,NGO/Non-profit,9,true,2,2,7,5
22,Prefer not to say,Singaporean,Polytechnic Diploma,3.40,SMU,"Reputation,Ranking,Faculty Quality",true,NTU,7,"City Campus,Business Focus",Hands-On,Large,Urban,5,false,On Campus,Economics,Government,8,true,3,9,10,7
23,Other,Singaporean,A-Levels,3.19,SUTD,"Reputation,Scholarships,Faculty Quality",false,NUS,6,"Design Innovation,Technology Focus",Online/Hybrid,Large,Urban,3,false,On Campus,Engineering Systems & Design,NGO/Non-profit,8,true,1,10,5,9
20,Male,Singaporean,IB,3.37,SUTD,"Campus Facilities,Location,Faculty Quality",true,NUS,7,"Design Innovation,Technology Focus",Lecture-Based,Small,Urban,9,false,Commute,Engineering Systems & Design,Entrepreneur,9,true,10,1,5,5
19,Male,Singaporean,IB,3.81,SUTD,"Ranking,Scholarships,Reputation",true,NUS,9,"Design Innovation,Technology Focus",Lecture-Based,Large,Urban,2,false,On Campus,Information Systems Technology & Design,Entrepreneur,9,false,1,3,1,7
24,Male,Singaporean,Polytechnic Diploma,3.72,SUTD,"Faculty Quality,Specific Course Offerings,Job Placement Rate",true,NTU,7,"Design Innovation,Technology Focus",Hands-On,Large,Urban,7,true,Commute,Engineering Systems & Design,Researcher,9,true,1,3,9,7
22,Male,Singaporean,High School Diploma,3.55,SUTD,"Job Placement Rate,Campus Facilities,Reputation",true,NTU,7,"Technology Focus,Design Innovation",Lecture-Based,Large,Suburban,2,false,Commute,Information Systems Technology & Design,Entrepreneur,7,false,10,4,1,9
24,Male,Singaporean,IB,3.30,SUTD,"Reputation,Location,Ranking",true,NTU,8,"Small Class Size,Design Innovation",Research-Driven,Medium,Suburban,8,false,Commute,Engineering Systems & Design,Industry Professional,7,true,1,2,3,5
21,Male,Singaporean,Polytechnic Diploma,3.20,SUTD,"Tuition Fees,Scholarships,Location",true,SIT,8,"Industry Collaboration,Design Innovation",Lecture-Based,Large,Suburban,6,false,Commute,Engineering Systems & Design,NGO/Non-profit,7,true,4,3,2,9
22,Female,Singaporean,Polytechnic Diploma,3.51,SUTD,"Campus Facilities,Reputation,Faculty Quality",false,SIT,7,"Technology Focus,Design Innovation",Research-Driven,Large,Urban,3,true,Commute,Architecture & Sustainable Design,NGO/Non-profit,7,true,9,3,1,6
24,Female,Singaporean,High School Diploma,3.63,SUTD,"Specific Course Offerings,Location,Tuition Fees",true,SIT,9,"Design Innovation,Industry Collaboration",Research-Driven,Large,Suburban,4,true,On Campus,Architecture & Sustainable Design,NGO/Non-profit,7,true,4,6,7,8
23,Female,Singaporean,IB,3.56,SUTD,"Faculty Quality,Ranking,Tuition Fees",true,NTU,9,"Small Class Size,Design Innovation",Lecture-Based,Medium,Suburban,3,false,Commute,Architecture & Sustainable Design,NGO/Non-profit,9,false,1,4,6,6
21,Other,Singaporean,A-Levels,3.19,SUTD,"Location,Ranking,Reputation",true,NUS,7,"Design Innovation,Small Class Size",Lecture-Based,Large,Urban,10,true,Commute,Information Systems Technology & Design,Entrepreneur,7,false,9,8,4,8
20,Prefer not to say,Singaporean,Polytechnic Diploma,3.53,SUTD,"Specific Course Offerings,Location,Ranking",false,NTU,6,"Small Class Size,Design Innovation",Lecture-Based,Medium,Urban,3,true,Commute,Information Systems Technology & Design,Entrepreneur,8,true,8,9,5,8
24,Male,Singaporean,A-Levels,3.08,SUTD,"Ranking,Tuition Fees,Scholarships",true,NTU,9,"Technology Focus,Industry Collaboration",Research-Driven,Small,Urban,10,false,On Campus,Architecture & Sustainable Design,Researcher,9,true,7,1,3,6
23,Male,Singaporean,A-Levels,3.85,SUTD,"Scholarships,Tuition Fees,Faculty Quality",true,SUSS,6,"Technology Focus,Industry Collaboration",Research-Driven,Large,Suburban,3,false,On Campus,Information Systems Technology & Design,NGO/Non-profit,7,true,5,10,7,8
20,Prefer not to say,Singaporean,Polytechnic Diploma,3.44,SUTD,"Scholarships,Specific Course Offerings,Reputation",true,SUSS,7,"Design Innovation,Small Class Size",Online/Hybrid,Large,Urban,9,false,Commute,Engineering Systems & Design,NGO/Non-profit,8,false,1,7,7,6
21,Other,Singaporean,IB,3.35,SUTD,"Location,Job Placement Rate,Ranking",true,SMU,6,"Design Innovation,Technology Focus",Online/Hybrid,Medium,Urban,4,true,Commute,Architecture & Sustainable Design,Entrepreneur,8,true,5,3,1,7
21,Prefer not to say,Singaporean,Polytechnic Diploma,3.61,SUTD,"Scholarships,Specific Course Offerings,Job Placement Rate",true,NUS,8,"Industry Collaboration,Small Class Size",Online/Hybrid,Large,Suburban,10,false,On Campus,Architecture & Sustainable Design,Researcher,7,false,3,9,9,9
23,Other,Singaporean,IB,3.28,SUTD,"Location,Specific Course Offerings,Ranking",true,SIT,7,"Technology Focus,Industry Collaboration",Lecture-Based,Medium,Suburban,6,false,Commute,Information Systems Technology & Design,NGO/Non-profit,7,true,5,1,2,7
24,Female,Singaporean,IB,3.81,SUTD,"Ranking,Job Placement Rate,Location",false,SUSS,8,"Technology Focus,Design Innovation",Hands-On,Medium,Suburban,10,false,On Campus,Engineering Systems & Design,Entrepreneur,9,false,4,7,3,5
19,Male,Singaporean,High School Diploma,3.63,SUTD,"Specific Course Offerings,Campus Facilities,Ranking",false,SIT,6,"Technology Focus,Design Innovation",Research-Driven,Large,Suburban,8,false,On Campus,Architecture & Sustainable Design,Government,9,false,6,3,8,6
22,Male,Singaporean,High School Diploma,3.15,SUSS,"Tuition Fees,Job Placement Rate,Faculty Quality",true,SIT,9,"Flexible Learning,Work-Study Integration",Online/Hybrid,Medium,Urban,3,false,Commute,Business Analytics,Researcher,8,true,9,7,4,7
24,Female,Singaporean,A-Levels,3.06,SUSS,"Campus Facilities,Reputation,Location",true,SUTD,8,"Flexible Learning,Work-Study Integration",Research-Driven,Large,Suburban,3,false,On Campus,Social Work,Researcher,8,true,8,2,5,9
20,Male,Singaporean,A-Levels,3.97,SUSS,"Faculty Quality,Ranking,Job Placement Rate",true,SIT,9,"Flexible Learning,Work-Study Integration",Lecture-Based,Medium,Urban,2,true,On Campus,Early Childhood Education,Researcher,9,true,5,7,7,8
19,Male,Singaporean,High School Diploma,3.23,SUSS,"Ranking,Job Placement Rate,Tuition Fees",true,SUTD,8,"Lifelong Learning,Work-Study Integration",Research-Driven,Medium,Urban,8,false,Commute,Supply Chain Management,Researcher,9,true,1,1,9,7
22,Other,Singaporean,High School Diploma,3.20,SUSS,"Campus Facilities,Location,Job Placement Rate",false,NUS,9,"Practice-Oriented,Work-Study Integration",Hands-On,Medium,Urban,6,false,Commute,Supply Chain Management,Entrepreneur,9,false,10,5,10,8
20,Male,Singaporean,High School Diploma,3.33,SUSS,"Job Placement Rate,Specific Course Offerings,Ranking",true,SMU,6,"Practice-Oriented,Work-Study Integration",Lecture-Based,Large,Urban,10,true,Commute,Early Childhood Education,Government,8,true,10,8,8,5
21,Other,Singaporean,IB,3.74,SUSS,"Location,Tuition Fees,Job Placement Rate",true,NUS,8,"Work-Study Integration,Flexible Learning",Research-Driven,Small,Urban,6,false,On Campus,Supply Chain Management,Industry Professional,7,true,1,7,9,6
21,Male,Singaporean,A-Levels,3.20,SUSS,"Location,Job Placement Rate,Tuition Fees",true,NUS,6,"Flexible Learning,Practice-Oriented",Hands-On,Large,Suburban,2,false,Commute,Business Analytics,Industry Professional,9,false,1,7,1,7
20,Prefer not to say,Singaporean,High School Diploma,3.54,SUSS,"Location,Ranking,Reputation",true,NUS,6,"Lifelong Learning,Work-Study Integration",Online/Hybrid,Medium,Urban,10,true,On Campus,Supply Chain Management,Researcher,7,true,9,8,1,8
22,Other,Singaporean,Polytechnic Diploma,3.05,SUSS,"Location,Campus Facilities,Reputation",true,SMU,7,"Lifelong Learning,Practice-Oriented",Online/Hybrid,Large,Urban,9,false,Commute,Supply Chain Management,NGO/Non-profit,8,false,6,4,10,5
21,Female,Singaporean,Polytechnic Diploma,3.07,SUSS,"Ranking,Scholarships,Reputation",true,SIT,8,"Lifelong Learning,Practice-Oriented",Lecture-Based,Small,Urban,5,false,On Campus,Business Analytics,NGO/Non-profit,7,false,1,10,8,8
24,Other,Singaporean,A-Levels,3.33,SUSS,"Specific Course Offerings,Job Placement Rate,Faculty Quality",true,SMU,7,"Lifelong Learning,Flexible Learning",Research-Driven,Medium,Suburban,5,false,On Campus,Business Analytics,Government,8,false,4,8,1,7
24,Female,Singaporean,Polytechnic Diploma,3.23,SUSS,"Location,Ranking,Campus Facilities",true,NTU,6,"Lifelong Learning,Practice-Oriented",Research-Driven,Large,Urban,2,false,Commute,Supply Chain Management,Researcher,7,true,5,6,9,6
24,Prefer not to say,Singaporean,A-Levels,3.03,SUSS,"Scholarships,Reputation,Location",true,SIT,6,"Work-Study Integration,Practice-Oriented",Research-Driven,Medium,Urban,9,true,On Campus,Business Analytics,NGO/Non-profit,8,false,1,4,10,6
19,Male,Singaporean,Polytechnic Diploma,3.39,SUSS,"Reputation,Specific Course Offerings,Job Placement Rate",true,SMU,8,"Lifelong Learning,Flexible Learning",Hands-On,Medium,Urban,7,true,On Campus,Business Analytics,Researcher,9,true,9,7,4,8
21,Female,Singaporean,IB,3.27,SUSS,"Campus Facilities,Job Placement Rate,Reputation",true,NTU,7,"Lifelong Learning,Work-Study Integration",Research-Driven,Small,Suburban,8,true,Commute,Social Work,Researcher,8,false,2,1,5,9
20,Female,Singaporean,Polytechnic Diploma,3.94,SUSS,"Ranking,Job Placement Rate,Tuition Fees",true,NUS,9,"Lifelong Learning,Work-Study Integration",Research-Driven,Large,Suburban,1,false,On Campus,Early Childhood Education,Researcher,7,false,4,10,7,9
22,Female,Singaporean,High School Diploma,3.13,SUSS,"Ranking,Scholarships,Reputation",true,NTU,7,"Practice-Oriented,Lifelong Learning",Online/Hybrid,Small,Urban,1,false,Commute,Early Childhood Education,Entrepreneur,8,false,1,5,5,9
24,Female,Singaporean,IB,3.22,SUSS,"Job Placement Rate,Scholarships,Specific Course Offerings",false,NUS,6,"Lifelong Learning,Practice-Oriented",Online/Hybrid,Large,Suburban,7,false,On Campus,Social Work,Researcher,9,true,6,8,8,8
19,Female,Singaporean,IB,3.85,SUSS,"Location,Campus Facilities,Job Placement Rate",true,NUS,6,"Lifelong Learning,Practice-Oriented",Research-Driven,Medium,Suburban,5,true,On Campus,Social Work,Entrepreneur,7,true,5,6,9,5
24,Male,Singaporean,A-Levels,3.74,SIT,"Campus Facilities,Ranking,Reputation",true,SMU,6,"Industry-Focused,Applied Learning",Research-Driven,Large,Urban,6,false,Commute,Food Technology,Government,9,true,5,7,3,5
23,Prefer not to say,Singaporean,Polytechnic Diploma,3.26,SIT,"Tuition Fees,Ranking,Faculty Quality",true,NTU,7,"Industry-Focused,Practical Skills",Lecture-Based,Large,Urban,6,false,On Campus,Digital Communications & Integrated Media,Entrepreneur,9,true,2,10,3,5
19,Male,Singaporean,Polytechnic Diploma,3.97,SIT,"Faculty Quality,Campus Facilities,Location",true,NUS,7,"Work-Study Integration,Applied Learning",Online/Hybrid,Medium,Urban,5,true,On Campus,Digital Communications & Integrated Media,Researcher,9,true,8,3,6,5
20,Prefer not to say,Singaporean,Polytechnic Diploma,3.69,SIT,"Scholarships,Specific Course Offerings,Reputation",true,NUS,9,"Work-Study Integration,Applied Learning",Research-Driven,Small,Urban,4,false,On Campus,Systems Engineering (ElectroMechanical Systems),Researcher,7,true,7,1,10,6
21,Prefer not to say,Singaporean,Polytechnic Diploma,3.27,SIT,"Ranking,Job Placement Rate,Campus Facilities",true,SUSS,6,"Industry-Focused,Practical Skills",Lecture-Based,Small,Suburban,5,true,On Campus,Aircraft Systems Engineering,NGO/Non-profit,7,true,7,2,7,8
19,Female,Singaporean,Polytechnic Diploma,3.65,SIT,"Job Placement Rate,Specific Course Offerings,Location",true,SMU,6,"Practical Skills,Work-Study Integration",Hands-On,Large,Urban,6,false,On Campus,Aircraft Systems Engineering,Entrepreneur,7,true,7,2,5,5
19,Other,Singaporean,Polytechnic Diploma,3.04,SIT,"Specific Course Offerings,Reputation,Ranking",true,NUS,9,"Work-Study Integration,Industry-Focused",Research-Driven,Medium,Urban,7,true,Commute,Digital Communications & Integrated Media,Entrepreneur,8,false,7,6,9,9
22,Female,Singaporean,A-Levels,3.05,SIT,"Scholarships,Tuition Fees,Job Placement Rate",true,SUSS,8,"Work-Study Integration,Industry-Focused",Lecture-Based,Medium,Suburban,7,false,Commute,Aircraft Systems Engineering,Industry Professional,7,false,3,10,8,5
19,Male,Singaporean,Polytechnic Diploma,3.90,SIT,"Ranking,Tuition Fees,Location",false,SMU,9,"Work-Study Integration,Practical Skills",Online/Hybrid,Small,Suburban,10,true,Commute,Food Technology,Industry Professional,7,true,2,3,9,9
21,Female,Singaporean,Polytechnic Diploma,3.08,SIT,"Location,Campus Facilities,Reputation",true,NUS,7,"Applied Learning,Industry-Focused",Online/Hybrid,Medium,Urban,6,false,On Campus,Mechanical Design & Manufacturing Engineering,Industry Professional,7,true,2,6,8,9
22,Prefer not to say,Singaporean,Polytechnic Diploma,3.74,SIT,"Tuition Fees,Reputation,Job Placement Rate",true,SUTD,7,"Practical Skills,Applied Learning",Hands-On,Small,Suburban,2,false,On Campus,Digital Communications & Integrated Media,Government,9,true,1,6,10,6
